resp_id,concern_text
R0251,My calls are transcribed and analyzed without anyone asking me.
R0916,It tracks how fast I answer messages and my manager brings it up in reviews.
R1154,I worry I will forget how to do the analysis without the tool.
R0303,I am optimistic about it overall.
R1024,Last month it merged two clients records and we only noticed by accident.
R0910,"The screening tool filters out people with non-Western names, I have seen it."
R0418,It invents numbers and management copies them into reports.
R1079,"Part-timers always end up ranked lower by the algorithm, that cannot be right."
R0141,"Nobody checks the outputs anymore, that is what scares me."
R0666,Clients already ask why they pay us if a model does the first version.
R0776,Promotion scores come from a model nobody can explain.
R1001,"Too many things to name, jobs, privacy, mistakes, all of it."
R1089,Management keeps hinting that the team will be smaller next year because of these tools.
R0160,"It penalizes career gaps, which mostly hits women here."
R0652,I am optimistic about it overall.
R0766,My own writing is getting worse because I always start from a draft it makes.
R0302,I am becoming dependent on it for things I used to do from memory.
R0373,New hires cannot troubleshoot anything because the assistant always did it.
R0228,We stopped training people properly because the tool covers the gaps.
R0537,"It penalizes career gaps, which mostly hits women here."
R0782,"People trust the answer because it is well written, not because it is right."
R0311,"Nobody practices the basics now, and it will show in a few years."
R1128,There is a productivity index on my profile that follows me around.
R0513,New hires cannot troubleshoot anything because the assistant always did it.
R0043,Last month it merged two clients records and we only noticed by accident.
R0106,Nothing specific comes to mind.
R0147,"It is moving faster than our policies, on every front at once."
R0808,It fails on edge cases and our work is mostly edge cases.
R0783,"Even the tone of my emails gets rated, which feels deeply intrusive."
R0610,We stopped training people properly because the tool covers the gaps.
R0389,"Older colleagues get worse recommendations from it, consistently."
R0520,I cannot take a longer break without the tool flagging it to my lead.
R0393,Management keeps hinting that the team will be smaller next year because of these tools.
R0379,"When it breaks there is no error, just a plausible wrong answer."
R0341,We stopped training people properly because the tool covers the gaps.
R0900,We had to redo a whole analysis because the tool silently dropped rows.
R0468,I worry I will forget how to do the analysis without the tool.
R0090,I fear my skills will not transfer anywhere once this place fully automates.
R0398,We stopped training people properly because the tool covers the gaps.
R0308,"Nobody checks the outputs anymore, that is what scares me."
R1105,My own writing is getting worse because I always start from a draft it makes.
R0094,My own writing is getting worse because I always start from a draft it makes.
R0872,My own writing is getting worse because I always start from a draft it makes.
R0590,"It is moving faster than our policies, on every front at once."
R0660,"People trust the answer because it is well written, not because it is right."
R0092,"Whole occupations like mine have been hollowed out before, this feels similar."
R0838,"Nobody checks the outputs anymore, that is what scares me."
R0500,My role feels replaceable now that the system drafts most of it.
R0991,It invents numbers and management copies them into reports.
R0743,There is a productivity index on my profile that follows me around.
