abstract_id,text
ab001,"We study the relationship between board diversity and firm risk. Using a survey of 120 employees, we find a negative effect on firm risk. Implications for research and practice are discussed."
ab002,"We study the relationship between remote work and productivity. Using a lab experiment, we find a negative effect on productivity. Implications for research and practice are discussed."
ab003,"We study the relationship between gamification and learning outcomes. Using panel data on 385 firms, we find no detectable effect on learning outcomes. Implications for research and practice are discussed."
ab004,"We study the relationship between green claims and purchase intention. Using a lab experiment, we find a negative effect on purchase intention. Implications for research and practice are discussed."
ab005,"We study the relationship between flexible schedules and turnover. Using a field experiment with 240 participants, we find mixed evidence regarding turnover. Implications for research and practice are discussed."
ab006,"We study the relationship between remote work and productivity. Using a survey of 1043 employees, we find a positive association with productivity. Implications for research and practice are discussed."
ab007,"We study the relationship between board diversity and firm risk. Using in-depth interviews, we find mixed evidence regarding firm risk. Implications for research and practice are discussed."
ab008,"We study the relationship between gamification and learning outcomes. Using in-depth interviews, we find no detectable effect on learning outcomes. Implications for research and practice are discussed."
ab009,"We study the relationship between green claims and purchase intention. Using a lab experiment (2210 students), we find mixed evidence regarding purchase intention. Implications for research and practice are discussed."
ab010,"We study the relationship between crowdfunding signals and funding success. Using a field experiment with 2210 participants, we find mixed evidence regarding funding success. Implications for research and practice are discussed."
ab011,"We study the relationship between board diversity and firm risk. Using a field experiment with 512 participants, we find a positive association with firm risk. Implications for research and practice are discussed."
ab012,"We study the relationship between crowdfunding signals and funding success. Using difference-in-differences on register data, we find no detectable effect on funding success. Implications for research and practice are discussed."
ab013,"We study the relationship between remote work and productivity. Using a lab experiment (2210 students), we find a negative effect on productivity. Implications for research and practice are discussed."
ab014,"We study the relationship between algorithmic management and employee voice. Using difference-in-differences on register data, we find a positive association with employee voice. Implications for research and practice are discussed."
ab015,"We study the relationship between AI adoption and job satisfaction. Using in-depth interviews, we find a positive association with job satisfaction. Implications for research and practice are discussed."
ab016,"We study the relationship between green claims and purchase intention. Using a survey of 385 employees, we find no detectable effect on purchase intention. Implications for research and practice are discussed."
ab017,"We study the relationship between crowdfunding signals and funding success. Using a survey of 1043 employees, we find mixed evidence regarding funding success. Implications for research and practice are discussed."
ab018,"We study the relationship between remote work and productivity. Using in-depth interviews, we find no detectable effect on productivity. Implications for research and practice are discussed."
