review_id,app,rating,review_text
rv0001,MoodLog,2,"Everything useful is behind a subscription, the free mood chart is a demo at best."
rv0002,MoodLog,4,"Simple, calm design and the habit tracker is the best I have tried."
rv0003,SleepWell,4,"Simple, calm design and the focus timer is the best I have tried."
rv0004,CalmMind,5,Been using it for 2 months and the sleep diary keeps me coming back.
rv0005,StudyPace,1,Claims the statistics page reduces anxiety but nothing changed for me in 2 months.
rv0006,SleepWell,5,"Five stars, the mood chart works exactly as promised."
rv0007,FocusFlow,5,Been using it for 4 months and the focus timer keeps me coming back.
rv0008,SleepWell,5,"Simple, calm design and the mood chart is the best I have tried."
rv0009,HabitHero,1,Why does a sleep app need my location and contacts? Deleted it.
rv0010,SleepWell,5,"Five stars, the focus timer works exactly as promised."
rv0011,HabitHero,4,"Five stars, the journal works exactly as promised."
rv0012,StudyPace,1,"Bait and switch, features that were free moved into premium."
rv0013,StudyPace,4,Been using it for 2 months and the reminder system keeps me coming back.
rv0014,CalmMind,1,The sleep diary lost all my data twice this month.
rv0015,CalmMind,1,"Bait and switch, features that were free moved into premium."
rv0016,SleepWell,5,"Simple, calm design and the sleep diary is the best I have tried."
rv0017,SleepWell,1,No way to use the focus timer without creating an account and handing over my data.
rv0018,FocusFlow,1,No way to use the sleep diary without creating an account and handing over my data.
rv0019,FocusFlow,1,"Everything useful is behind a subscription, the free sleep diary is a demo at best."
rv0020,HabitHero,2,Great idea but the focus timer freezes on my phone daily.
rv0021,CalmMind,3,The sleep diary gives advice that my therapist says is questionable.
rv0022,HabitHero,1,"Everything useful is behind a subscription, the free habit tracker is a demo at best."
rv0023,StudyPace,5,"Five stars, the mood chart works exactly as promised."
rv0024,CalmMind,3,"Love the sleep diary, hate the notifications, still deciding overall."
rv0025,StudyPace,5,"This app genuinely changed my daily routine, the statistics page is excellent."
rv0026,StudyPace,1,The focus timer gives advice that my therapist says is questionable.
rv0027,MoodLog,1,"Crashes every time I open the journal, unusable since the last update."
rv0028,HabitHero,5,"Five stars, the statistics page works exactly as promised."
rv0029,StudyPace,1,Ads interrupt the mood chart constantly unless you pay.
rv0030,FocusFlow,1,"Constant sync errors in the sleep diary, support never replies."
rv0031,StudyPace,1,"Found out it shares usage data with advertisers, disgraceful for a productivity app."
rv0032,FocusFlow,1,"Crashes every time I open the mood chart, unusable since the last update."
rv0033,StudyPace,1,The reminder system lost all my data twice this month.
rv0034,HabitHero,1,"The privacy policy changed silently, now everything in the habit tracker is collected."
rv0035,MoodLog,1,"Bait and switch, features that were free moved into premium."
rv0036,FocusFlow,1,"Bait and switch, features that were free moved into premium."
rv0037,FocusFlow,2,Ads interrupt the statistics page constantly unless you pay.
rv0038,HabitHero,1,"Feels pseudo-scientific, the statistics page promises results no app can deliver."
rv0039,SleepWell,2,Great idea but the reminder system freezes on my phone daily.
rv0040,SleepWell,1,"Crashes every time I open the mood chart, unusable since the last update."
rv0041,MoodLog,5,Been using it for 2 months and the habit tracker keeps me coming back.
rv0042,StudyPace,5,"Five stars, the mood chart works exactly as promised."
rv0043,CalmMind,3,The reminder system gives advice that my therapist says is questionable.
rv0044,FocusFlow,1,"Feels pseudo-scientific, the mood chart promises results no app can deliver."
rv0045,FocusFlow,1,No way to use the breathing exercise without creating an account and handing over my data.
rv0046,FocusFlow,1,"The privacy policy changed silently, now everything in the journal is collected."
rv0047,CalmMind,1,Ads interrupt the reminder system constantly unless you pay.
rv0048,HabitHero,5,"Simple, calm design and the sleep diary is the best I have tried."
rv0049,HabitHero,1,"Found out it shares usage data with advertisers, disgraceful for a wellbeing app."
rv0050,SleepWell,5,"Five stars, the sleep diary works exactly as promised."
rv0051,FocusFlow,3,"Decent mental health app, the statistics page is clever, everything else is average."
rv0052,SleepWell,3,Better than HabitHero but the journal still needs work.
rv0053,CalmMind,1,"Crashes every time I open the breathing exercise, unusable since the last update."
rv0054,CalmMind,1,"The privacy policy changed silently, now everything in the journal is collected."
rv0055,StudyPace,3,"Decent sleep app, the journal is clever, everything else is average."
rv0056,StudyPace,2,"Price doubled this year, the journal is not worth 12 euro a month."
rv0057,MoodLog,2,"Bait and switch, features that were free moved into premium."
rv0058,FocusFlow,2,"Everything useful is behind a subscription, the free statistics page is a demo at best."
rv0059,MoodLog,1,"The privacy policy changed silently, now everything in the statistics page is collected."
rv0060,FocusFlow,4,Been using it for 2 months and the focus timer keeps me coming back.
rv0061,MoodLog,1,Great idea but the sleep diary freezes on my phone daily.
rv0062,HabitHero,2,"Everything useful is behind a subscription, the free breathing exercise is a demo at best."
rv0063,CalmMind,1,The sleep diary lost all my data twice this month.
rv0064,SleepWell,3,Claims the reminder system reduces anxiety but nothing changed for me in 8 months.
rv0065,HabitHero,5,"Simple, calm design and the journal is the best I have tried."
rv0066,CalmMind,5,Been using it for 6 months and the journal keeps me coming back.
rv0067,HabitHero,1,Great idea but the focus timer freezes on my phone daily.
rv0068,FocusFlow,4,Been using it for 4 months and the reminder system keeps me coming back.
rv0069,HabitHero,1,"The streak pressure from the focus timer made my stress worse, not better."
rv0070,StudyPace,2,Ads interrupt the reminder system constantly unless you pay.
rv0071,MoodLog,1,"The privacy policy changed silently, now everything in the mood chart is collected."
rv0072,SleepWell,3,"Works well on good days, the focus timer is confusing on bad ones."
rv0073,FocusFlow,3,"Works well on good days, the mood chart is confusing on bad ones."
rv0074,HabitHero,2,"Crashes every time I open the mood chart, unusable since the last update."
rv0075,MoodLog,1,"Found out it shares usage data with advertisers, disgraceful for a mental health app."
rv0076,MoodLog,2,"Everything useful is behind a subscription, the free breathing exercise is a demo at best."
rv0077,MoodLog,2,"Price doubled this year, the statistics page is not worth 12 euro a month."
rv0078,MoodLog,4,"This app genuinely changed my daily routine, the focus timer is excellent."
rv0079,SleepWell,4,"This app genuinely changed my daily routine, the statistics page is excellent."
rv0080,CalmMind,2,"The streak pressure from the sleep diary made my stress worse, not better."
rv0081,MoodLog,2,"Price doubled this year, the mood chart is not worth 12 euro a month."
rv0082,HabitHero,3,"Decent sleep app, the sleep diary is clever, everything else is average."
rv0083,MoodLog,1,Why does a sleep app need my location and contacts? Deleted it.
rv0084,MoodLog,3,Better than MoodLog but the habit tracker still needs work.
rv0085,FocusFlow,1,No way to use the sleep diary without creating an account and handing over my data.
rv0086,CalmMind,1,Great idea but the mood chart freezes on my phone daily.
rv0087,MoodLog,3,"Decent mental health app, the habit tracker is clever, everything else is average."
rv0088,HabitHero,3,"The streak pressure from the habit tracker made my stress worse, not better."
rv0089,HabitHero,5,"Five stars, the breathing exercise works exactly as promised."
rv0090,MoodLog,3,"Works well on good days, the journal is confusing on bad ones."
rv0091,SleepWell,5,"Five stars, the breathing exercise works exactly as promised."
rv0092,HabitHero,2,"The streak pressure from the breathing exercise made my stress worse, not better."
rv0093,HabitHero,3,"Works well on good days, the focus timer is confusing on bad ones."
rv0094,CalmMind,2,"The streak pressure from the statistics page made my stress worse, not better."
rv0095,FocusFlow,3,"Decent mental health app, the sleep diary is clever, everything else is average."
rv0096,HabitHero,4,Been using it for 8 months and the reminder system keeps me coming back.
rv0097,StudyPace,3,"Decent wellbeing app, the habit tracker is clever, everything else is average."
rv0098,CalmMind,5,"This app genuinely changed my daily routine, the sleep diary is excellent."
rv0099,FocusFlow,2,"Constant sync errors in the statistics page, support never replies."
rv0100,SleepWell,5,"Simple, calm design and the focus timer is the best I have tried."
rv0101,StudyPace,2,"Bait and switch, features that were free moved into premium."
rv0102,MoodLog,3,Better than HabitHero but the journal still needs work.
rv0103,CalmMind,2,"Constant sync errors in the mood chart, support never replies."
rv0104,StudyPace,3,"Decent sleep app, the mood chart is clever, everything else is average."
rv0105,FocusFlow,3,The sleep diary gives advice that my therapist says is questionable.
rv0106,MoodLog,4,Been using it for 6 months and the reminder system keeps me coming back.
rv0107,FocusFlow,3,"Works well on good days, the mood chart is confusing on bad ones."
rv0108,CalmMind,3,The statistics page gives advice that my therapist says is questionable.
rv0109,MoodLog,1,"The privacy policy changed silently, now everything in the statistics page is collected."
rv0110,CalmMind,1,The sleep diary lost all my data twice this month.
rv0111,StudyPace,1,Great idea but the sleep diary freezes on my phone daily.
rv0112,StudyPace,3,"Decent wellbeing app, the breathing exercise is clever, everything else is average."
rv0113,SleepWell,1,Great idea but the journal freezes on my phone daily.
rv0114,MoodLog,5,Been using it for 2 months and the focus timer keeps me coming back.
rv0115,MoodLog,3,"Love the reminder system, hate the notifications, still deciding overall."
rv0116,FocusFlow,4,"Five stars, the reminder system works exactly as promised."
rv0117,SleepWell,5,"This app genuinely changed my daily routine, the breathing exercise is excellent."
rv0118,HabitHero,5,"Simple, calm design and the sleep diary is the best I have tried."
rv0119,CalmMind,1,Why does a wellbeing app need my location and contacts? Deleted it.
rv0120,MoodLog,1,No way to use the sleep diary without creating an account and handing over my data.
rv0121,StudyPace,2,Ads interrupt the statistics page constantly unless you pay.
rv0122,StudyPace,5,"Five stars, the statistics page works exactly as promised."
rv0123,CalmMind,5,"Simple, calm design and the reminder system is the best I have tried."
rv0124,CalmMind,5,"This app genuinely changed my daily routine, the reminder system is excellent."
rv0125,FocusFlow,1,No way to use the habit tracker without creating an account and handing over my data.
rv0126,MoodLog,1,"Price doubled this year, the sleep diary is not worth 12 euro a month."
rv0127,CalmMind,3,"Love the mood chart, hate the notifications, still deciding overall."
rv0128,MoodLog,5,"Five stars, the statistics page works exactly as promised."
rv0129,MoodLog,5,"Simple, calm design and the journal is the best I have tried."
rv0130,HabitHero,4,"This app genuinely changed my daily routine, the breathing exercise is excellent."
rv0131,SleepWell,1,No way to use the statistics page without creating an account and handing over my data.
rv0132,SleepWell,1,"Bait and switch, features that were free moved into premium."
rv0133,FocusFlow,3,"Works well on good days, the mood chart is confusing on bad ones."
rv0134,CalmMind,4,"Five stars, the reminder system works exactly as promised."
rv0135,MoodLog,3,"Decent sleep app, the statistics page is clever, everything else is average."
rv0136,CalmMind,1,"The privacy policy changed silently, now everything in the sleep diary is collected."
rv0137,MoodLog,2,"Constant sync errors in the reminder system, support never replies."
rv0138,MoodLog,1,"The privacy policy changed silently, now everything in the reminder system is collected."
rv0139,StudyPace,5,"This app genuinely changed my daily routine, the breathing exercise is excellent."
rv0140,SleepWell,2,Ads interrupt the reminder system constantly unless you pay.
rv0141,CalmMind,2,Ads interrupt the sleep diary constantly unless you pay.
rv0142,MoodLog,1,"Everything useful is behind a subscription, the free statistics page is a demo at best."
rv0143,FocusFlow,1,"Found out it shares usage data with advertisers, disgraceful for a wellbeing app."
rv0144,SleepWell,5,"Simple, calm design and the journal is the best I have tried."
rv0145,SleepWell,2,"Everything useful is behind a subscription, the free reminder system is a demo at best."
rv0146,HabitHero,3,The reminder system gives advice that my therapist says is questionable.
rv0147,StudyPace,5,"This app genuinely changed my daily routine, the mood chart is excellent."
rv0148,SleepWell,3,"Love the statistics page, hate the notifications, still deciding overall."
rv0149,MoodLog,3,"Decent productivity app, the focus timer is clever, everything else is average."
rv0150,StudyPace,3,"Love the reminder system, hate the notifications, still deciding overall."
rv0151,MoodLog,2,The journal gives advice that my therapist says is questionable.
rv0152,MoodLog,1,Great idea but the focus timer freezes on my phone daily.
rv0153,CalmMind,3,"Decent mental health app, the mood chart is clever, everything else is average."
rv0154,MoodLog,2,Ads interrupt the sleep diary constantly unless you pay.
